IRIS;LIBIRIS;COM;LIBCOM;DEC_PIMP14;DEC_TP6014;DEC_Q114;DEC_MED14;DEC_Q314;DEC_EQ14;DEC_D114;DEC_D214;DEC_D314;DEC_D414;DEC_D614;DEC_D714;DEC_D814;DEC_D914;DEC_RD14;DEC_S80S2014;DEC_GI14;DEC_PTSA14;DEC_PCHO14;DEC_PBEN14;DEC_PPEN14;DEC_PAUT14;note
27220401;Saint-Crepin;2722;Soissons;25,6;52,7;5646;11644;17968;1,1;380;4038;6830;9358;13914;16518;19456;22994;60,5;24,9;0,4;45,1;6,5;1;44,2;3,2;0
27220501;Centre 1;2722;Soissons;67,1;13,8;16044;23273;32256;0,7;10246;14594;17432;20392;26142;29882;34928;46890;4,6;6,2;0,4;48,8;2,3;7,5;30,7;10,7;0
27220502;Centre 2;2722;Soissons;50,6;30,4;10670;17822;26254;0,9;3064;8638;12036;14914;20554;24320;28938;39616;12,9;13,4;0,4;46,3;3,9;5;37,5;7,3;0
27220503;Centre 3;2722;Soissons;54,4;26,1;11950;18922;30562;1;6130;10264;13175;16103;22646;27486;34970;50972;8,3;12,3;0,4;44,1;2,9;15,7;27,5;9,8;0
27220601;Chevreux;2722;Soissons;;;2798;7708;14876;1,6;2;1648;3718;5842;10254;13198;17088;21874;10937;79;0,5;63,2;7,1;1,1;26,6;2;0
27220701;Saint-Waast;2722;Soissons;52,6;23,1;12608;18926;26496;0,7;5620;10808;14172;16598;21434;24794;28658;34470;6,1;7,9;0,3;58;3,6;5;28,9;4,5;0
27220801;Saint-Medard;2722;Soissons;38,3;36,4;9224;15107;21064;0,8;4196;7764;10656;13422;16930;19410;23214;28398;6,8;9,4;0,4;63,5;5,7;2,3;23,9;4,6;0
27220901;Gare;2722;Soissons;56,7;24;12578;19586;29848;0,9;5898;10664;14432;17436;22338;27056;33446;44100;7,5;10,4;0,4;53,6;2,6;8,5;27,1;8,2;0
27380101;Quessy Centre;2738;Tergnier;42,7;35,6;9072;16024;22026;0,8;4262;8020;10816;13356;17882;20970;23433;29182;6,8;8,9;0,4;53,7;4,1;3,3;36,2;2,7;0
27380102;Quessy Cite;2738;Tergnier;39,6;38,4;9134;14486;19576;0,7;4074;7810;10152;12424;16208;18200;20974;24580;6;6,6;0,3;;;;;;0
27380201;Vouel;2738;Tergnier;43,8;32,3;9958;16806;22462;0,7;4322;7826;11514;14244;19226;21378;23844;28545;6,6;8,4;0,3;55,1;4,2;3,1;36;1,6;0
